,F1
0,0.0
1,-301453.3379275333
2,-146598.05089227454
3,17644.756143600072
4,-107460.5988264717
5,248857.00739599168
6,779556.4066045964
7,305879.08800163004
8,-523065.46753880865
9,-711259.4402062512
10,-318266.05069629283
11,-347739.74209047365
12,-687945.0788997846
13,695806.401553092
14,-130431.6341866923
15,-144433.922972445
16,626940.0102325607
17,-416990.6515056341
18,-358074.7124453743
19,670075.6580245119
20,-377652.0884804656
21,774399.4442713328
22,568867.246989637
23,666572.6305112129
24,289406.32772195333
25,668898.7408728463
26,-44468.09040790147
27,-597263.5431406066
28,418738.56960433646
29,638079.57436623
30,-167261.37641523557
31,-9189.51522501597
32,235795.47065280637
33,159787.39558015158
34,-1697386.4812723421
35,-879057.6561705524
36,1942214.3935904675
37,662349.3240760746
38,537104.240936961
39,2579609.198562045
40,-524645.6427344069
41,-803688.4398852658
42,-3637658.9581931694
43,1172864.735576547
44,258174.52693638037
45,1055909.3907989224
46,193087.36428132275
47,-164488.34994612253
48,-147895.87420520795
49,-275407.1450054288
50,513265.8403599372
51,-769572.0871253961
52,672869.7059793349
53,-26810.47511969595
54,970578.0513362203
55,108949.38188264154
56,-1008836.9222007111
57,-210879.54481401018
58,inf
59,67172.24280936593
60,-59318.61145713962
61,-263719.45624836854
62,-274296.4972973657
63,322496.6284473232
64,-768294.0511320513
65,-691788.5757724372
66,395625.1805986807
67,-23711.197769146187
68,-1598885.276214978
69,1245500.7912776612
70,-437655.44055822626
71,-1519386.3140216847
72,82237.62147142606
73,-277615.3558599227
74,744963.6025195398
75,133889.24137034145
76,-1016008.2311996503
77,-1292131.57499694
78,213024.5545247567
79,-468033.6418115331
80,-1611758.7762395472
81,-2889612.3004920715
82,2400766.9181453413
83,-1192637.2281941653
84,1167667.435631547
85,-1665786.6077681175
86,825983.7685324271
87,1325564.7084868895
88,1162821.801481024
89,786299.0816175637
90,-1337396.8441221388
91,27756.30768486191
92,-622901.1027442074
93,-1160829.750135004
94,-2197630.868116334
95,inf
96,-1444641.091598459
97,-370956.291938909
98,-1877176.4711439195
99,765854.3708840907
100,-4392219.271492309
101,-84693.6327199266
102,-329737.2924333135
103,-2611535.1826776504
104,5460127.259520499
105,571997.4854775948
106,-1948459.6524782383
107,1804302.97884275
108,-140925.2937168669
109,1135174.054708296
110,-1142785.635897287
111,-3424526.785027602
112,1717085.0677056017
113,2554360.925278166
114,213593.18636191994
